State,Race/Ethnicity/Ancestry,Religion,Sexual Orientation,Disability,Gender,Gender Identity
Alaska,4,2,0,1,0,0
Arizona,95,34,37,2,2,3
Arkansas,10,1,1,1,0,0
California,596,199,239,7,4,20
Colorado,78,16,24,2,0,3
Connecticut,54,13,12,1,1,0
Delaware,13,1,2,0,0,0
District of Columbia,99,12,68,0,1,33
Florida,71,29,35,1,0,5
Georgia,28,4,3,0,0,0
Hawaii,33,1,10,0,0,0
Idaho,15,6,2,0,0,0
Illinois,62,20,20,0,0,6
Indiana,75,20,11,1,2,2
Iowa,4,2,2,2,0,0
Kansas,35,18,9,7,0,0
Kentucky,189,16,22,3,8,2
Louisiana,25,13,6,0,1,0
Maine,11,1,6,1,0,1
Maryland,27,7,9,2,0,5
Massachusetts,200,86,69,6,5,7
Michigan,282,48,70,19,12,0
Minnesota,72,26,25,3,0,0
Mississippi,2,1,2,0,0,0
Missouri,50,3,8,2,0,1
Montana,1,0,6,0,0,0
Nebraska,22,2,5,4,0,1
Nevada,15,11,8,0,0,0
New Hampshire,7,2,3,1,0,0
New Jersey,308,198,53,4,1,7
New Mexico,21,3,3,0,0,1
New York,153,286,69,1,1,13
North Carolina,83,27,29,3,0,0
North Dakota,4,3,3,0,0,0
Ohio,218,40,54,32,2,4
Oklahoma,16,1,3,0,0,0
Oregon,71,16,23,2,0,8
Pennsylvania,43,19,5,0,0,0
Rhode Island,6,3,4,0,0,0
South Carolina,67,28,8,2,0,6
South Dakota,17,0,3,0,0,0
Tennessee,100,26,29,13,2,4
Texas,314,59,50,16,3,15
Utah,20,7,4,1,0,1
Vermont,30,11,3,1,0,0
Virginia,85,25,23,9,1,0
Washington,299,72,106,6,5,19
West Virginia,28,10,3,1,1,0
Wisconsin,26,8,14,3,0,2
