State,Race/Ethnicity/Ancestry,Religion,Sexual Orientation,Disability,Gender,Gender Identity
Alabama,12,1,1,0,0,0
Alaska,11,0,0,0,0,0
Arizona,110,50,53,1,0,0
Arkansas,10,1,0,0,0,1
California,522,171,208,2,3,27
Colorado,67,19,23,0,0,0
Connecticut,62,30,14,0,0,0
Delaware,11,3,1,0,0,0
District of Columbia,33,18,42,2,0,20
Florida,43,19,32,1,0,1
Georgia,25,2,12,0,0,0
Hawaii,0,0,0,0,0,0
Idaho,16,7,4,0,0,0
Illinois,73,13,21,0,1,3
Indiana,52,11,14,0,1,0
Iowa,13,2,2,0,0,0
Kansas,36,5,5,3,0,0
Kentucky,135,43,22,2,1,3
Louisiana,20,3,4,0,0,0
Maine,21,11,8,0,0,0
Maryland,24,7,6,0,0,0
Massachusetts,212,94,76,8,8,16
Michigan,282,47,59,6,5,0
Minnesota,77,30,15,0,0,0
Mississippi,4,1,2,0,0,0
Missouri,65,13,10,0,1,0
Montana,10,5,4,0,1,0
Nebraska,23,4,3,0,1,0
Nevada,31,4,6,0,0,1
New Hampshire,15,6,5,2,0,0
New Jersey,137,110,34,1,0,0
New Mexico,8,9,9,0,0,0
New York,155,311,99,1,5,24
North Carolina,99,21,26,0,1,2
North Dakota,7,1,0,0,0,0
Ohio,336,35,60,9,1,1
Oklahoma,20,5,5,3,0,0
Oregon,61,23,17,2,0,1
Pennsylvania,40,9,11,1,0,0
Rhode Island,2,6,3,1,0,0
South Carolina,18,1,3,1,0,0
South Dakota,6,2,5,3,0,2
Tennessee,93,18,25,6,0,0
Texas,104,23,37,5,1,8
Utah,47,8,9,2,0,0
Vermont,16,5,3,1,0,0
Virginia,76,21,22,3,0,0
Washington,239,61,70,2,3,14
West Virginia,30,1,7,3,0,0
Wisconsin,22,8,3,0,0,1
Wyoming,3,0,0,0,0,0
